term,group1,group2,null.value,estimate,conf.low,conf.high,p.adj,p.adj.signif
strain,ECA828,ECA1058,0,-0.0257493049363823,-0.14022339438856654,0.08872478451580196,1,ns
strain,ECA828,ECA1060,0,-0.027966264148591866,-0.1415134226413483,0.08558089434416459,1,ns
strain,ECA828,ECA599,0,0.059834283750814926,-0.053939742417666386,0.17360830991929624,0.858,ns
strain,ECA828,ECA575,0,-0.050795939445138376,-0.16434309793789484,0.06275121904761807,0.95,ns
strain,ECA828,CB4856,0,-0.014898717045559432,-0.12844587553831588,0.09864844144719702,1,ns
strain,ECA828,ECA929,0,0.1790247073462647,0.06547754885350823,0.2925718658390212,1.8e-5,****
strain,ECA828,ECA232,0,0.06725534427854551,-0.04674874627562638,0.1812594348327174,0.74,ns
strain,ECA828,ECA2006,0,0.09054231563194264,-0.02300484286081382,0.20408947412469908,0.275,ns
strain,ECA828,ECA597,0,-0.04454568265066844,-0.1580928411434249,0.06900147584208802,0.981,ns
strain,ECA828,ECA1064,0,-0.1198588449210011,-0.23340600341375756,-0.006311686428244645,0.028,*
strain,ECA828,N2,0,-0.055950360884177285,-0.16949751937693375,0.05759679760857917,0.905,ns
strain,ECA1058,ECA1060,0,-0.0022169592122095703,-0.11669104866439382,0.11225713023997468,1,ns
strain,ECA1058,ECA599,0,0.08558358868719722,-0.029115535044040575,0.200282712418435,0.378,ns
strain,ECA1058,ECA575,0,-0.02504663450875608,-0.13952072396094034,0.08942745494342817,1,ns
strain,ECA1058,CB4856,0,0.010850587890822865,-0.10362350156136138,0.12532467734300712,1,ns
strain,ECA1058,ECA929,0,0.204774012282647,0.09029992283046274,0.31924810173483126,3.84e-7,****
strain,ECA1058,ECA232,0,0.0930046492149278,-0.021922687033726934,0.20793198546358255,0.253,ns
strain,ECA1058,ECA2006,0,0.11629162056832493,0.0018175311161406776,0.23076571002050916,0.0426,*
strain,ECA1058,ECA597,0,-0.018796377714286144,-0.1332704671664704,0.0956777117378981,1,ns
strain,ECA1058,ECA1064,0,-0.09410953998461881,-0.20858362943680306,0.02036454946756544,0.232,ns
strain,ECA1058,N2,0,-0.03020105594779499,-0.14467514539997925,0.08427303350438926,0.999,ns
strain,ECA1060,ECA599,0,0.08780054789940679,-0.02597347826907452,0.2015745740678881,0.324,ns
strain,ECA1060,ECA575,0,-0.02282967529654651,-0.13637683378930296,0.09071748319620995,1,ns
strain,ECA1060,CB4856,0,0.013067547103032436,-0.10047961138972403,0.12661470559578888,1,ns
strain,ECA1060,ECA929,0,0.20699097149485657,0.09344381300210011,0.320538129987613,1.98e-7,****
strain,ECA1060,ECA232,0,0.09522160842713738,-0.01878248212703451,0.20922569898130927,0.211,ns
strain,ECA1060,ECA2006,0,0.1185085797805345,0.004961421287778045,0.23205573827329096,0.0318,*
strain,ECA1060,ECA597,0,-0.016579418502076573,-0.13012657699483304,0.09696773999067988,1,ns
strain,ECA1060,ECA1064,0,-0.09189258077240924,-0.20543973926516568,0.02165457772034722,0.253,ns
strain,ECA1060,N2,0,-0.02798409673558542,-0.14153125522834187,0.08556306175717104,1,ns
strain,ECA599,ECA575,0,-0.11063022319595331,-0.22440424936443462,0.0031438029725280037,0.0656,ns
strain,ECA599,CB4856,0,-0.07473300079637435,-0.18850702696485566,0.03904102537210696,0.586,ns
strain,ECA599,ECA929,0,0.11919042359544978,0.005416397426968464,0.2329644497639311,0.0305,*
strain,ECA599,ECA232,0,0.0074210605277305886,-0.1068089902115164,0.12165111126697757,1,ns
strain,ECA599,ECA2006,0,0.03070803188112771,-0.0830659942873536,0.144482058049609,0.999,ns
strain,ECA599,ECA597,0,-0.10437996640148337,-0.21815399256996468,0.009394059766997948,0.109,ns
strain,ECA599,ECA1064,0,-0.17969312867181603,-0.29346715484029734,-0.06591910250333471,1.72e-5,****
strain,ECA599,N2,0,-0.11578464463499222,-0.22955867080347353,-0.002010618466510905,0.0418,*
strain,ECA575,CB4856,0,0.035897222399578946,-0.07764993609317751,0.14944438089233542,0.997,ns
strain,ECA575,ECA929,0,0.22982064679140307,0.11627348829864662,0.34336780528415956,3.18e-9,****
strain,ECA575,ECA232,0,0.1180512837236839,0.004047193169512006,0.23205537427785577,0.0347,*
strain,ECA575,ECA2006,0,0.141338255077081,0.02779109658432455,0.25488541356983746,0.00283,**
strain,ECA575,ECA597,0,0.006250256794469937,-0.10729690169828651,0.1197974152872264,1,ns
strain,ECA575,ECA1064,0,-0.06906290547586272,-0.18261006396861917,0.04448425301689374,0.7,ns
strain,ECA575,N2,0,-0.005154421439038909,-0.11870157993179536,0.10839273705371755,1,ns
strain,CB4856,ECA929,0,0.19392342439182414,0.08037626589906768,0.3074705828845806,1.76e-6,****
strain,CB4856,ECA232,0,0.08215406132410494,-0.031850029230066954,0.19615815187827684,0.435,ns
strain,CB4856,ECA2006,0,0.10544103267750207,-0.008106125815254384,0.21898819117025853,0.0984,ns
strain,CB4856,ECA597,0,-0.02964696560510901,-0.14319412409786547,0.08390019288764744,0.999,ns
strain,CB4856,ECA1064,0,-0.10496012787544168,-0.21850728636819813,0.008587030617314778,0.102,ns
strain,CB4856,N2,0,-0.041051643838617854,-0.1545988023313743,0.0724955146541386,0.99,ns
strain,ECA929,ECA232,0,-0.11176936306771919,-0.22577345362189108,0.0022347274864527034,0.0607,ns
strain,ECA929,ECA2006,0,-0.08848239171432207,-0.20202955020707852,0.02506476677843439,0.309,ns
