term,group1,group2,null.value,estimate,conf.low,conf.high,p.adj,p.adj.signif
strain,ECA929,ECA597,0,-0.22357038999693313,-0.33711754848968956,-0.11002323150417667,1.03e-8,****
strain,ECA929,ECA1064,0,-0.2988835522672658,-0.41243071076002225,-0.18533639377450936,0,****
strain,ECA929,N2,0,-0.23497506823044198,-0.34852222672319844,-0.12142790973768552,1.19e-9,****
strain,ECA232,ECA2006,0,0.02328697135339712,-0.09071711920077477,0.137291061907569,1,ns
strain,ECA232,ECA597,0,-0.11180102692921395,-0.22580511748338583,0.0022030636249579377,0.0605,ns
strain,ECA232,ECA1064,0,-0.18711418919954662,-0.3011182797537185,-0.07311009864537472,5.85e-6,****
strain,ECA232,N2,0,-0.1232057051627228,-0.2372097957168947,-0.009201614608550915,0.0212,*
strain,ECA2006,ECA597,0,-0.1350879982826111,-0.24863515677536754,-0.021540839789854632,0.00579,**
strain,ECA2006,ECA1064,0,-0.21040116055294372,-0.3239483190457002,-0.09685400206018727,1.1e-7,****
strain,ECA2006,N2,0,-0.1464926765161199,-0.2600398350088764,-0.03294551802336346,0.00153,**
strain,ECA597,ECA1064,0,-0.07531316227033266,-0.18886032076308912,0.038233996222423794,0.571,ns
strain,ECA597,N2,0,-0.011404678233508846,-0.12495183672626531,0.1021424802592476,1,ns
strain,ECA1064,N2,0,0.06390848403682381,-0.049638674455932646,0.17745564252958027,0.794,ns
