strain	condition	trait	phenotype
QX331	growth	mean.res.mean.normEXT	-0.017002257476656065
QX332	growth	mean.res.meanTOF	6.999113138291866
QX332	growth	mean.res.mean.normEXT	0.017444703395652704
QX333	growth	mean.res.meanTOF	8.592630025888205
QX333	growth	mean.res.mean.normEXT	0.009068928622704293
QX334	growth	mean.res.meanTOF	2.2844701881774045
QX334	growth	mean.res.mean.normEXT	0.006996611707515202
QX335	growth	mean.res.meanTOF	11.460911012772007
QX335	growth	mean.res.mean.normEXT	-0.005324803709379687
QX336	growth	mean.res.meanTOF	-36.1933401404182
QX336	growth	mean.res.mean.normEXT	0.004846506031689204
QX337	growth	mean.res.meanTOF	-1.5459201635656277
QX337	growth	mean.res.mean.normEXT	0.00436620952643138
QX338	growth	mean.res.meanTOF	-30.88514933412984
QX338	growth	mean.res.mean.normEXT	0.01902241073179164
QX339	growth	mean.res.meanTOF	-7.425021543495634
QX339	growth	mean.res.mean.normEXT	-0.006715592489351692
QX340	growth	mean.res.meanTOF	-23.212116567918255
QX340	growth	mean.res.mean.normEXT	-0.01821154802805385
QX341	growth	mean.res.meanTOF	4.80850456803432
QX341	growth	mean.res.mean.normEXT	0.011191180556030625
QX343	growth	mean.res.meanTOF	-0.4521374391315064
QX343	growth	mean.res.mean.normEXT	0.010338758242167257
QX345	growth	mean.res.meanTOF	-8.49212981615497
QX345	growth	mean.res.mean.normEXT	-0.0068553896427551745
QX346	growth	mean.res.meanTOF	-26.200505336899422
QX346	growth	mean.res.mean.normEXT	3.41332380909674e-4
QX347	growth	mean.res.meanTOF	-18.472190007019584
QX347	growth	mean.res.mean.normEXT	-0.004321463046500834
QX348	growth	mean.res.meanTOF	19.288303461933108
QX348	growth	mean.res.mean.normEXT	0.001834436040771792
QX349	growth	mean.res.meanTOF	24.505624597454656
QX349	growth	mean.res.mean.normEXT	0.03573500996786338
QX350	growth	mean.res.meanTOF	-8.388241801721726
QX350	growth	mean.res.mean.normEXT	-0.0021353984070672763
QX352	growth	mean.res.meanTOF	-31.297013832949972
QX352	growth	mean.res.mean.normEXT	-0.028310472751674608
QX353	growth	mean.res.meanTOF	5.01404186112618
QX353	growth	mean.res.mean.normEXT	-0.009859113077321655
QX354	growth	mean.res.meanTOF	-12.9769940082219
QX354	growth	mean.res.mean.normEXT	-0.004884941688219913
QX355	growth	mean.res.meanTOF	0.034728432391411095
QX355	growth	mean.res.mean.normEXT	-8.003366514370907e-4
QX356	growth	mean.res.meanTOF	15.643788691819267
QX356	growth	mean.res.mean.normEXT	-0.016796737909812703
QX357	growth	mean.res.meanTOF	8.34047973122976
QX357	growth	mean.res.mean.normEXT	-0.026692729727738077
QX358	growth	mean.res.meanTOF	4.147283222455828
QX358	growth	mean.res.mean.normEXT	-0.00796015061190908
QX359	growth	mean.res.meanTOF	14.697403965847416
QX359	growth	mean.res.mean.normEXT	0.018600884010879365
QX360	growth	mean.res.meanTOF	11.787817540490002
QX360	growth	mean.res.mean.normEXT	0.01567237456379202
QX361	growth	mean.res.meanTOF	1.6351920820834882
QX361	growth	mean.res.mean.normEXT	0.004916554773535494
QX362	growth	mean.res.meanTOF	-24.13826284103778
QX362	growth	mean.res.mean.normEXT	0.03270194720552948
QX363	growth	mean.res.meanTOF	14.362855956175618
QX363	growth	mean.res.mean.normEXT	0.03660748182716775
QX364	growth	mean.res.meanTOF	-0.39145294298047634
QX364	growth	mean.res.mean.normEXT	-0.006635854484466885
QX365	growth	mean.res.meanTOF	-3.7367143733689776
QX365	growth	mean.res.mean.normEXT	0.0020574752979074873
QX366	growth	mean.res.meanTOF	2.7893910411759
QX366	growth	mean.res.mean.normEXT	3.952334414481495e-4
QX367	growth	mean.res.meanTOF	-31.726523500050927
QX367	growth	mean.res.mean.normEXT	-0.002035827409794678
QX368	growth	mean.res.meanTOF	17.196514536585724
QX368	growth	mean.res.mean.normEXT	0.008334445679451238
QX369	growth	mean.res.meanTOF	15.134259848651167
QX369	growth	mean.res.mean.normEXT	0.0057620038626090934
QX370	growth	mean.res.meanTOF	-18.54284695569998
QX370	growth	mean.res.mean.normEXT	-0.01222140540045136
QX371	growth	mean.res.meanTOF	22.280590638519307
QX371	growth	mean.res.mean.normEXT	0.010285448222061011
QX372	growth	mean.res.meanTOF	-0.8174067430962564
QX372	growth	mean.res.mean.normEXT	-0.0028962756466871355
QX373	growth	mean.res.meanTOF	7.650375060858513
QX373	growth	mean.res.mean.normEXT	-2.961526104521352e-5
QX374	growth	mean.res.meanTOF	-9.907052549062096
QX374	growth	mean.res.mean.normEXT	-0.012727636622718988
QX375	growth	mean.res.meanTOF	-2.8871386485222383
QX375	growth	mean.res.mean.normEXT	0.017717976945259516
QX376	growth	mean.res.meanTOF	11.311916169574765
QX376	growth	mean.res.mean.normEXT	-0.028101025208852343
QX377	growth	mean.res.meanTOF	5.8682310276471314
QX377	growth	mean.res.mean.normEXT	0.020562086590199757
QX378	growth	mean.res.meanTOF	-13.96733218786743
QX378	growth	mean.res.mean.normEXT	0.027574354698081286
QX379	growth	mean.res.meanTOF	57.60231977968523
QX379	growth	mean.res.mean.normEXT	-0.02445742550885214
QX380	growth	mean.res.meanTOF	1.2492917045169893
QX380	growth	mean.res.mean.normEXT	-0.008968412989178621
QX381	growth	mean.res.meanTOF	14.600589138780126
QX381	growth	mean.res.mean.normEXT	8.007689117772977e-5
QX382	growth	mean.res.meanTOF	10.163045602844672
QX382	growth	mean.res.mean.normEXT	0.02156490992688452
QX383	growth	mean.res.meanTOF	11.253924644778
QX383	growth	mean.res.mean.normEXT	-0.003000052054231358
QX384	growth	mean.res.meanTOF	-15.015726910933983
QX384	growth	mean.res.mean.normEXT	-0.011266291558501786
QX385	growth	mean.res.meanTOF	11.807327141486235
QX385	growth	mean.res.mean.normEXT	0.017989208405871263
QX386	growth	mean.res.meanTOF	16.893777245884316
QX386	growth	mean.res.mean.normEXT	0.005476232386513421
QX387	growth	mean.res.meanTOF	15.356152019972756
QX387	growth	mean.res.mean.normEXT	1.1423056689318037e-4
QX390	growth	mean.res.meanTOF	26.993995371752625
QX390	growth	mean.res.mean.normEXT	4.21424547835021e-4
QX391	growth	mean.res.meanTOF	-3.331558570389347
QX391	growth	mean.res.mean.normEXT	0.0025329060400656224
QX392	growth	mean.res.meanTOF	8.837656811918121
QX392	growth	mean.res.mean.normEXT	0.00804290377309428
QX393	growth	mean.res.meanTOF	-3.486004740806604
QX393	growth	mean.res.mean.normEXT	0.012820632828005414
QX394	growth	mean.res.meanTOF	-6.374477641853283
QX394	growth	mean.res.mean.normEXT	-0.007274907540464644
QX395	growth	mean.res.meanTOF	3.9119439427771816
QX395	growth	mean.res.mean.normEXT	-0.008959753500227787
QX396	growth	mean.res.meanTOF	15.48028239025106
QX396	growth	mean.res.mean.normEXT	0.006083662212191176
QX397	growth	mean.res.meanTOF	-16.324218214437646
QX397	growth	mean.res.mean.normEXT	2.394781414594478e-4
QX398	growth	mean.res.meanTOF	-10.673248347273178
QX398	growth	mean.res.mean.normEXT	-0.0060670769810973815
QX399	growth	mean.res.meanTOF	23.163222054579297
QX399	growth	mean.res.mean.normEXT	-0.014412161813596645
QX400	growth	mean.res.meanTOF	3.899328822356083
QX400	growth	mean.res.mean.normEXT	-0.006141534978226453
QX401	growth	mean.res.meanTOF	2.176960556021268
QX401	growth	mean.res.mean.normEXT	0.010786420299320741
QX402	growth	mean.res.meanTOF	9.412780068772715
QX402	growth	mean.res.mean.normEXT	0.014803717516818964
QX403	growth	mean.res.meanTOF	-9.823152288000657
QX403	growth	mean.res.mean.normEXT	0.01878446966993066
QX404	growth	mean.res.meanTOF	12.420129569891442
QX404	growth	mean.res.mean.normEXT	-0.0034954090354867287
QX405	growth	mean.res.meanTOF	32.059632829126805
QX405	growth	mean.res.mean.normEXT	-0.005492882191262698
QX406	growth	mean.res.meanTOF	15.614211245827564
QX406	growth	mean.res.mean.normEXT	0.0057748267752708304
QX407	growth	mean.res.meanTOF	9.419741742185987
QX407	growth	mean.res.mean.normEXT	-0.004762580533334455
QX408	growth	mean.res.meanTOF	19.64429383477382
QX408	growth	mean.res.mean.normEXT	-0.005993593366804584
QX409	growth	mean.res.meanTOF	-7.376543584921851
QX409	growth	mean.res.mean.normEXT	0.004588861019025962
QX410	growth	mean.res.meanTOF	-0.6796336098280462
QX410	growth	mean.res.mean.normEXT	-0.0016267810696211896
QX411	growth	mean.res.meanTOF	3.96620290159177
QX411	growth	mean.res.mean.normEXT	0.01205531370939927
QX412	growth	mean.res.meanTOF	13.380176237142127
QX412	growth	mean.res.mean.normEXT	-0.012513156155452156
QX413	growth	mean.res.meanTOF	-1.8936558722711798
QX413	growth	mean.res.mean.normEXT	-0.007879789627488415
QX414	growth	mean.res.meanTOF	-2.7480277236015973
QX414	growth	mean.res.mean.normEXT	-0.01022992272668119
QX416	growth	mean.res.meanTOF	-10.701279771502639
QX416	growth	mean.res.mean.normEXT	0.023509575105185764
QX417	growth	mean.res.meanTOF	3.134820218250911
QX417	growth	mean.res.mean.normEXT	0.003198317146451287
QX418	growth	mean.res.meanTOF	10.33291432414242
QX418	growth	mean.res.mean.normEXT	0.004126843899061629
QX419	growth	mean.res.meanTOF	-105.26840505805018
QX419	growth	mean.res.mean.normEXT	-0.06986276409454263
QX420	growth	mean.res.meanTOF	-156.03202816662127
QX420	growth	mean.res.mean.normEXT	-0.13899809361582682
QX421	growth	mean.res.meanTOF	10.330204816263015
QX421	growth	mean.res.mean.normEXT	-0.013217273569771518
QX423	growth	mean.res.meanTOF	-8.50926221514323
QX423	growth	mean.res.mean.normEXT	-0.014585727518686935
QX424	growth	mean.res.meanTOF	7.346006526629526
QX424	growth	mean.res.mean.normEXT	-0.005643989767637702
QX426	growth	mean.res.meanTOF	-6.465895882012037
QX426	growth	mean.res.mean.normEXT	0.0035580074052966753
QX427	growth	mean.res.meanTOF	5.080426077574544
QX427	growth	mean.res.mean.normEXT	-0.012050777125137755
QX428	growth	mean.res.meanTOF	12.318714681410372
QX428	growth	mean.res.mean.normEXT	6.844347421879945e-4
QX429	growth	mean.res.meanTOF	11.941248424214502
QX429	growth	mean.res.mean.normEXT	0.0017136783414695746
QX430	growth	mean.res.meanTOF	-8.96296700122009
QX430	growth	mean.res.mean.normEXT	-0.006233980957100731
QX431	growth	mean.res.meanTOF	20.936942487677456
QX431	growth	mean.res.mean.normEXT	-0.009382283649330461
QX432	growth	mean.res.meanTOF	-31.170787024273213
QX432	growth	mean.res.mean.normEXT	0.019505055022599124
QX433	growth	mean.res.meanTOF	-9.55362334273161
QX433	growth	mean.res.mean.normEXT	-0.003410539545479802
QX434	growth	mean.res.meanTOF	10.868527242969895
QX434	growth	mean.res.mean.normEXT	0.017578937483436176
QX435	growth	mean.res.meanTOF	10.001795888051811
QX435	growth	mean.res.mean.normEXT	-0.015687350192488514
QX436	growth	mean.res.meanTOF	38.09485149738378
QX436	growth	mean.res.mean.normEXT	-9.351297927110624e-4
QX437	growth	mean.res.meanTOF	-8.396555051954568
QX437	growth	mean.res.mean.normEXT	0.00804790275382041
QX438	growth	mean.res.meanTOF	-25.294595058375243
QX438	growth	mean.res.mean.normEXT	-0.012711783214205824
QX439	growth	mean.res.meanTOF	-6.9754369884407685
QX439	growth	mean.res.mean.normEXT	0.004006431906996079
QX440	growth	mean.res.meanTOF	-158.30964389094473
QX440	growth	mean.res.mean.normEXT	-0.07785778716429535
QX441	growth	mean.res.meanTOF	-15.720924669115323
QX441	growth	mean.res.mean.normEXT	-0.0029253616791371094
QX443	growth	mean.res.meanTOF	-15.199316956550309
QX443	growth	mean.res.mean.normEXT	0.012451854223231158
QX444	growth	mean.res.meanTOF	1.1798160382045415
QX444	growth	mean.res.mean.normEXT	0.01054952617956201
QX445	growth	mean.res.meanTOF	-36.31552978745562
QX445	growth	mean.res.mean.normEXT	0.0289564490240687
QX446	growth	mean.res.meanTOF	-96.26967275097357
QX446	growth	mean.res.mean.normEXT	-0.02110347537716735
QX447	growth	mean.res.meanTOF	1.664833088317024
QX447	growth	mean.res.mean.normEXT	-0.00926634428709304
QX448	growth	mean.res.meanTOF	18.667744949438827
QX448	growth	mean.res.mean.normEXT	0.0013917142960428073
QX449	growth	mean.res.meanTOF	8.541863975890173
QX449	growth	mean.res.mean.normEXT	0.04161559667718138
QX450	growth	mean.res.meanTOF	17.356229990520454
QX450	growth	mean.res.mean.normEXT	-0.009712203511232769
QX451	growth	mean.res.meanTOF	7.057410121155614
QX451	growth	mean.res.mean.normEXT	0.024127611645501843
QX452	growth	mean.res.meanTOF	4.897393773310686
QX452	growth	mean.res.mean.normEXT	0.011825786837715542
QX453	growth	mean.res.meanTOF	10.33764704645127
QX453	growth	mean.res.mean.normEXT	0.029446686662100107
QX454	growth	mean.res.meanTOF	-5.625991148084268
QX454	growth	mean.res.mean.normEXT	0.015668860354423112
QX455	growth	mean.res.meanTOF	14.547561468617502
QX455	growth	mean.res.mean.normEXT	0.003189788105975909
QX456	growth	mean.res.meanTOF	-3.565741787118634
QX456	growth	mean.res.mean.normEXT	0.010053651185571619
QX457	growth	mean.res.meanTOF	13.549379797842501
QX457	growth	mean.res.mean.normEXT	-0.012876425455417841
QX458	growth	mean.res.meanTOF	4.326535391330398
QX458	growth	mean.res.mean.normEXT	0.019105883001989923
QX459	growth	mean.res.meanTOF	11.282977400118336
QX459	growth	mean.res.mean.normEXT	-9.784216274997986e-4
QX460	growth	mean.res.meanTOF	12.945992731624495
QX460	growth	mean.res.mean.normEXT	-0.013005157315540732
QX461	growth	mean.res.meanTOF	-0.6106522697924502
QX461	growth	mean.res.mean.normEXT	0.001088056941544287
QX463	growth	mean.res.meanTOF	-8.5090448718447
QX463	growth	mean.res.mean.normEXT	0.02317079479439286
QX464	growth	mean.res.meanTOF	8.320151922481104
QX464	growth	mean.res.mean.normEXT	-0.015540444170918911
QX465	growth	mean.res.meanTOF	-4.436455782186298
QX465	growth	mean.res.mean.normEXT	-0.006259483851937722
QX466	growth	mean.res.meanTOF	-30.416305740898853
QX466	growth	mean.res.mean.normEXT	-0.02572319973719871
QX467	growth	mean.res.meanTOF	5.758701694451689
QX467	growth	mean.res.mean.normEXT	-0.0034579881305724443
QX468	growth	mean.res.meanTOF	-18.410482511275962
QX468	growth	mean.res.mean.normEXT	0.011609174479649022
QX469	growth	mean.res.meanTOF	-15.052646760171918
QX469	growth	mean.res.mean.normEXT	-0.024983550884168607
QX470	growth	mean.res.meanTOF	9.193335721847026
QX470	growth	mean.res.mean.normEXT	0.007063436430872017
QX471	growth	mean.res.meanTOF	23.19858839621206
QX471	growth	mean.res.mean.normEXT	0.00673547326781923
QX472	growth	mean.res.meanTOF	8.073603132990819
QX472	growth	mean.res.mean.normEXT	-0.012214021811056333
QX473	growth	mean.res.meanTOF	-1.574295939893948
QX473	growth	mean.res.mean.normEXT	-0.015472066412416125
QX474	growth	mean.res.meanTOF	35.85552178342915
QX474	growth	mean.res.mean.normEXT	-0.009072044343129653
QX475	growth	mean.res.meanTOF	-9.687834672063786
QX475	growth	mean.res.mean.normEXT	-7.670314967676327e-4
QX476	growth	mean.res.meanTOF	15.893879015547768
QX476	growth	mean.res.mean.normEXT	-0.0043489368530996945
QX477	growth	mean.res.meanTOF	-6.8937341252899955
QX477	growth	mean.res.mean.normEXT	-0.006881318361998547
QX478	growth	mean.res.meanTOF	-9.429262248924564
QX478	growth	mean.res.mean.normEXT	-0.012242326810173705
QX479	growth	mean.res.meanTOF	10.142829825370216
QX479	growth	mean.res.mean.normEXT	0.010598630684402147
QX480	growth	mean.res.meanTOF	-4.896131465978587
QX480	growth	mean.res.mean.normEXT	-0.013737580907087975
QX481	growth	mean.res.meanTOF	-37.67432188105953
QX481	growth	mean.res.mean.normEXT	-0.009506964711900519
QX482	growth	mean.res.meanTOF	5.611708410904387
QX482	growth	mean.res.mean.normEXT	7.176030984856468e-4
QX483	growth	mean.res.meanTOF	13.322371563053782
QX483	growth	mean.res.mean.normEXT	-0.021688466153376548
QX484	growth	mean.res.meanTOF	8.804003079487961
QX484	growth	mean.res.mean.normEXT	0.012129904777061006
QX485	growth	mean.res.meanTOF	2.504598495762279
QX485	growth	mean.res.mean.normEXT	0.0013016216746524864
QX486	growth	mean.res.meanTOF	3.230902170482647
QX486	growth	mean.res.mean.normEXT	0.007916107179999302
QX487	growth	mean.res.meanTOF	-0.9647504399916438
QX487	growth	mean.res.mean.normEXT	-0.008581388176340198
QX488	growth	mean.res.meanTOF	-49.7236695682348
QX488	growth	mean.res.mean.normEXT	-0.007038709763465112
QX489	growth	mean.res.meanTOF	4.071738866905554
QX489	growth	mean.res.mean.normEXT	-0.007380309547026385
QX49	growth	mean.res.meanTOF	-103.65641289813716
QX49	growth	mean.res.mean.normEXT	-0.012057072943729983
QX490	growth	mean.res.meanTOF	24.58982173924238
QX490	growth	mean.res.mean.normEXT	-0.01035819760442754
QX491	growth	mean.res.meanTOF	-159.28725968846567
QX491	growth	mean.res.mean.normEXT	-0.09912528648317813
QX492	growth	mean.res.meanTOF	-2.382103202431557
QX492	growth	mean.res.mean.normEXT	0.013193510847360878
QX493	growth	mean.res.meanTOF	7.7843921372436915
QX493	growth	mean.res.mean.normEXT	-4.0251377462955973e-4
QX494	growth	mean.res.meanTOF	-3.0138998689586396
QX494	growth	mean.res.mean.normEXT	-6.148025414169017e-4
QX495	growth	mean.res.meanTOF	-6.743404542212717
QX495	growth	mean.res.mean.normEXT	0.01452373390734421
QX496	growth	mean.res.meanTOF	-5.390859072658628
QX496	growth	mean.res.mean.normEXT	0.008296706146321399
QX497	growth	mean.res.meanTOF	-95.20353242546855
QX497	growth	mean.res.mean.normEXT	-0.06960507432361367
QX498	growth	mean.res.meanTOF	-38.979980056724656
QX498	growth	mean.res.mean.normEXT	-0.006417028490660397
QX500	growth	mean.res.meanTOF	-2.749623789263267
